"AptName","SeqId","SeqIdVersion","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol","Organism","Units","Type","Dilution","PlateScale_Reference","CalReference","Cal_PLT19524","Cal_PLT19523","Cal_PLT19522","CalQcRatio_PLT19524_200170","Cal_PLT19521","CalQcRatio_PLT19523_200170","Cal_PLT19525","CalQcRatio_PLT19522_200170","ColCheck","CalQcRatio_PLT19521_200170","CalQcRatio_PLT19525_200170","QcReference_200170","Dilution2"
"seq.10000.28","10000-28",3,"SL019233","Beta-crystallin B2","CRBB2","P43320","1415","CRYBB2","Human","RFU","Protein","20",875,875,1.041047,1.04552515,1.04615017,0.967,1.05689093,1.014,1.06616303,1.043,"PASS",1.043,1.026,2304.3,0.2
"seq.10001.7","10001-7",3,"SL002564","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049","5894","RAF1","Human","RFU","Protein","20",372.6,372.6,0.9368871,0.96403622,0.92663517,1.027,0.92113721,1.028,0.87403237,1.079,"PASS",1.035,1.069,327.4,0.2
"seq.10003.15","10003-15",3,"SL019245","Zinc finger protein 41","ZNF41","P51814","7592","ZNF41","Human","RFU","Protein","0.5",205.8,205.8,0.93206522,0.93844049,0.96078431,0.998,0.69176471,0.917,0.78820375,0.96,"PASS",0.974,0.885,173.6,0.005
"seq.10006.25","10006-25",3,"SL019228","ETS domain-containing protein Elk-1","ELK1","P19419","2002","ELK1","Human","RFU","Protein","20",804,804,1.01170253,1.00149477,1.00600601,1.011,1.03037293,1.032,1.06886466,0.989,"PASS",1.023,0.997,543.1,0.2
"seq.10008.43","10008-43",3,"SL019234","Guanylyl cyclase-activating protein 1","GUC1A","P43080","2978","GUCA1A","Human","RFU","Protein","20",655.4,655.4,1.03115167,0.99287987,0.98099087,0.964,1.02023661,1.034,1.0389981,1.033,"PASS",1.004,1.03,473.6,0.2
"seq.10010.10","10010-10",3,"SL014943","Beclin-1","BECN1","Q14457","8678","BECN1","Human","RFU","Protein","20",604.8,604.8,1.04528171,1.04239917,1.0221396,0.985,1.0454624,0.948,1.07500889,0.96,"PASS",0.948,0.89,306.1,0.2
"seq.10011.65","10011-65",3,"SL019246","Inositol polyphosphate 5-phosphatase OCRL-1","OCRL","Q01968","4952","OCRL","Human","RFU","Protein","20",3676,3676,1.33318826,1.36776306,1.21976308,1.078,1.30874395,1.035,1.30893035,1.004,"PASS",0.986,1.024,2532.8,0.2
"seq.10012.5","10012-5",3,"SL014669","SAM pointed domain-containing Ets transcription factor","SPDEF","O95238","25803","SPDEF","Human","RFU","Protein","20",1917,1917,1.17376929,1.2218752,1.02518851,1.103,1.09649374,0.95,1.09712127,0.912,"PASS",0.9,0.911,1146.8,0.2
"seq.10013.34","10013-34",3,"SL025418","Fc_MOUSE","Fc_MOUSE","Q99LC4","","","Mouse","RFU","Protein","20",679.8,679.8,1.1328112,1.17247327,1.04136029,1.04,1.08837656,0.922,1.12755017,0.954,"PASS",0.942,0.929,404,0.2
"seq.10014.31","10014-31",3,"SL007803","Zinc finger protein SNAI2","SLUG","O43623","6591","SNAI2","Human","RFU","Protein","20",1373.9,1373.9,1.04367973,1.03737542,0.96454648,0.969,0.98742274,0.947,1.01959184,0.943,"PASS",0.939,0.916,776.1,0.2
